1	0	0	34	0
2	0	0	16	1
10	0	0	24	1
12	0	0	42	1
13	0	0	48	0
16	0	0	48	0
17	0	0	25	1
18	0	0	12	1
19	0	0	34	1
21	0	0	14	1
25	0	0	39	1
26	0	0	46	1
27	0	0	49	0
29	0	0	23	0
30	0	0	46	1
32	0	0	40	1
34	0	0	11	1
39	0	0	4	0
40	0	0	26	0
42	0	0	23	0
43	0	0	17	0
44	0	0	14	0
45	0	0	20	0
49	0	0	4	0
51	0	0	36	1
56	0	0	23	0
57	0	0	37	1
58	0	0	0	1
59	0	0	27	0
63	0	0	5	1
64	0	0	11	0
67	0	0	21	1
69	0	0	0	0
72	0	0	42	0
73	0	0	6	1
74	0	0	13	0
77	0	0	11	0
78	0	0	24	0
79	0	0	4	0
80	0	0	29	1
81	0	0	22	1
84	0	0	49	1
86	0	0	41	1
88	0	0	33	1
89	0	0	45	1
90	0	0	2	1
92	0	0	39	1
93	0	0	4	1
94	0	0	38	0
99	0	0	10	0
